"A" "B"
"269" 50.58 56.85
"270" 47.98 45.99
"271" 53.27 48.2
"272" 56.81 49.08
"273" 48.12 55.19
"274" 50.37 61.56
"275" 51.56 54.69
"276" 49.08 51.6
"277" 52.87 50.16
"278" 52.16 45.5
"279" 46.7 47.3
"280" 55.7 48.32
"281" 53.42 61.45
"282" 56.1 51.18
"283" 48.3 46.2
"284" 51.01 44.95
"285" 40.84 47.11
"286" 50.27 43.84
"287" 53.22 47.53
"288" 57.26 43.14
"289" 56.83 47.42
"290" 50.79 49.3
"291" 54.38 47.12
"292" 49.14 56.91
"293" 56.67 58.7
"294" 57.55 57.58
"295" 57.54 50.54
"296" 47.25 44.39
"297" 52.96 42.2
"298" 56.06 47.61
"299" 62.01 52.26
"300" 66.71 42.89
"301" 56.79 49.49
"302" 45.78 53.18
"303" 51.29 56.75
"304" 51.74 42.16
"305" 51.74 60.55
"306" 57.26 51.73
"307" 60.14 52.44
"308" 55.53 45.81
"309" 62.6 50.63
"310" 54.81 49.6
"311" 62.67 51.81
"312" 50.67 48.46
"313" 57.17 56.65
"314" 55.43 49.29
"315" 59.23 45.4
"316" 55.26 52.34
"317" 54.36 45.75
"318" 47.11 53.79
"319" 55.46 49.66
"320" 56.24 44.72
"321" 51.07 49.13
"322" 57.33 43.36
"323" 48.69 50.92
"324" 49.2 48.63
"325" 56.13 49.21
"326" 50.33 44.3
"327" 61.24 47.94
"328" 51.85 50.12
"329" 55.38 43.97
"330" 61.77 46.51
"331" 58.16 48.22
"332" 54.58 45.96
"333" 60.16 53.64
"334" 61.78 51.32
"335" 52.84 42.26
"336" 53.49 47.77
"337" 48.42 48.95
"338" 53.37 56.57
"339" 63.73 50.32
"340" 52.26 59.12
"341" 50.21 42.91
"342" 57.39 54.28
"343" 52.75 55.16
"344" 55.85 54.21
"345" 70.89 53.03
"346" 53.59 54.78
"347" 50.79 53.29
"348" 53.3 47.38
"349" 62.71 53.43
"350" 54.98 45.98
"351" 55.34 52.14
"352" 62.75 50.68
"353" 48.98 46.56
"354" 57.44 56.87
"355" 66.36 53.75
"356" 53.38 46.65
"357" 47.86 56.97
"358" 65.62 50.03
"359" 53.79 51.62
"360" 51.85 47.02
"361" 57.28 47.84
"362" 58.03 50.89
"363" 60.5 49.07
"364" 46.01 49.66
"365" 55.69 53.81
"366" 52.83 48.62
"367" 49.02 56.56
"368" 51.56 48.6
"369" 55.83 48.62
"370" 51.39 54
"371" 60.57 47.53
"372" 56.16 57.27
"373" 68.29 54.79
"374" 50.98 45.79
"375" 52.69 55.65
"376" 61.16 62.75
"377" 47.34 41.44
"378" 47.82 51.92
"379" 54.38 49.04
"380" 49.62 49.49
"381" 59.96 52.68
"382" 55.19 52.43
"383" 60.92 45.27
"384" 57.02 55.41
"385" 51.46 46.84
"386" 59.22 54.28
"387" 53.62 50.78
"388" 55.16 49.64
"389" 49.39 50.86
"390" 53.16 45.99
"391" 53.06 61.55
"392" 55.87 42.72
"393" 51.5 54.5
"394" 56.5 64.47
"395" 56.32 53.97
"396" 52.43 44.64
"397" 52.41 55.66
"398" 49.17 51.84
"399" 44.83 50.61
"400" 62.65 40.69
"401" 56.18 46.09
"402" 65.08 47.02
"403" 55.69 47.3
"404" 59.46 43.76
"405" 57.15 46.7
"406" 59.14 43.59
"407" 57.32 47.54
"408" 54.96 50.1
"409" 53.32 45.5
"410" 58 49.7
"411" 49.39 50.06
"412" 54.92 44.97
"413" 57.23 49.6
"414" 58.43 53.63
"415" 47.88 58.3
"416" 54.42 44.35
"417" 49.04 46.86
"418" 64.35 46.17
"419" 62.37 46.47
"420" 52.74 54.35
"421" 56.67 47.68
"422" 54.94 57.96
"423" 50.99 54.06
"424" 49.58 46.67
"425" 50 57.92
"426" 50.59 48.94
"427" 50.73 45.34
"428" 59.32 56.59
"429" 59.39 56.3
"430" 55.74 60.42
"431" 57.9 58.24
"432" 51.72 45.95
"433" 59.21 49.47
"434" 58.81 44.06
"435" 54.57 48.65
"436" 61.25 49.3
"437" 52.04 46.92
"438" 55.93 53.44
"439" 48.69 44.89
"440" 63.14 55.04
"441" 55.12 57.34
"442" 57.19 51.46
"443" 49.8 48.25
"444" 56.52 53.5
"445" 64.33 48.83
"446" 48.6 59.84
"447" 54.9 39.48
"448" 43.26 50.56
"449" 51.52 42.03
"450" 58.23 45.64
"451" 49.42 52.61
"452" 57.32 46.12
"453" 60.85 52.59
"454" 57.23 48.29
"455" 55.36 46.69
"456" 53.25 44.67
"457" 52.48 49.01
"458" 55.55 42.61
"459" 54.63 53.95
"460" 55.67 42.51
"461" 56.76 51.12
"462" 54.53 49.46
"463" 56.88 47.83
"464" 61.23 46.1
"465" 45.22 49.47
"466" 55.6 47.57
"467" 61.86 49.19
"468" 52.21 40.1
"469" 46.41 46.14
"470" 52.69 44.68
"471" 57.27 41.5
"472" 41.6 39.26
"473" 61.12 49.19
"474" 59.2 47.79
"475" 59.32 56.95
"476" 55.91 49.28
"477" 54.16 66.67
"478" 57.87 52.93
"479" 60.35 51.08
"480" 52.63 45.73
"481" 51.52 46.75
"482" 52.08 54.49
"483" 53.74 46.48
"484" 54.02 39.44
"485" 55.75 46.03
"486" 58.81 48.28
"487" 49.21 46.47
"488" 56.87 54.8
"489" 55.12 49.27
"490" 52.58 46.69
"491" 59.63 49.72
"492" 54.39 47.36
"493" 54.68 49.01
"494" 63.29 53.35
"495" 52.4 53.17
"496" 58.92 45.29
"497" 65.92 49.11
"498" 48.89 50.85
"499" 64.85 49.89
"500" 62.39 46.21
"501" 57.34 45.59
"502" 47.65 49.81
"503" 67.02 43.32
"504" 57.29 50.86
"505" 53.8 54.59
"506" 55.45 50.36
"507" 43.31 42.36
"508" 55.32 49.69
"509" 61.08 45.29
"510" 50.79 57.71
"511" 54.94 54.43
"512" 55.35 58.69
"513" 50.77 50.45
"514" 62.15 51.73
"515" 47.48 46.41
"516" 54.91 50.29
"517" 60.73 50.74
"518" 46.3 51.58
"519" 56.3 52.91
"520" 57.4 54.1
"521" 71.41 48.42
"522" 64.24 52.99
"523" 49.18 51.51
"524" 52.08 56.64
"525" 53.23 51.45
"526" 54.3 50.98
"527" 51.67 48.82
"528" 55.44 44.85
"529" 55.04 49.5
"530" 51.68 55.83
"531" 51.38 54.27
"532" 46.2 53.37
"533" 46.86 46.34
"534" 58.93 58.65
"535" 47.08 58.02
"536" 51.54 52.76
"537" 46.36 45.84
"538" 56.72 49.12
"539" 43.69 42.65
"540" 50.32 44.05
"541" 58.13 55.01
"542" 65.41 53.65
"543" 54.56 50.53
"544" 51.62 51.84
"545" 61.57 55.51
"546" 45.71 55.99
"547" 54.97 41.39
"548" 50.65 48.25
"549" 57.71 43.9
"550" 44.8 56.25
"551" 66.6 49.62
"552" 70.24 49.5
"553" 57.88 53.12
"554" 53.11 48.81
"555" 54.07 51.68
"556" 61.7 53.65
"557" 51.53 48.12
"558" 51.31 59.39
"559" 47.11 42.16
"560" 57.41 50.77
"561" 59.56 53.17
"562" 57.22 52.28
"563" 56.65 46.32
"564" 51.92 48.86
"565" 48.76 41.26
"566" 56.18 47.45
"567" 44.2 57.72
"568" 52.09 49.64
"569" 52.26 49.27
"570" 56.5 45.68
"571" 64.25 43.8
"572" 52 44.46
"573" 53.54 49.21
"574" 50.36 50.97
"575" 56.16 51.16
"576" 50.95 59.18
"577" 56.45 54.75
"578" 57.25 51.51
"579" 56.11 42.14
"580" 55.11 42.35
"581" 55.63 48.89
"582" 51.67 45.51
"583" 52.69 46.73
"584" 60.57 59.03
"585" 54.15 56.89
"586" 56.78 53
"587" 47.83 52.08
"588" 51.77 50.64
"589" 49.34 50.14
"590" 56.85 42.44
"591" 55.28 47.08
"592" 54.1 55.56
"593" 54.84 48.67
"594" 61.38 61.02
"595" 54.65 47.43
"596" 50.19 55.86
"597" 66.6 56.18
"598" 57.39 55.47
"599" 61.19 45.33
"600" 52.1 48.33
"601" 61.47 56.29
"602" 50.82 53.51
"603" 53.69 43.69
"604" 59.44 47.21
"605" 65.56 48.2
"606" 48.04 54.38
"607" 55.22 47.66
"608" 49.26 53.66
"609" 57.37 55.77
"610" 56.12 56.6
"611" 62.74 53.76
"612" 55.61 49.79
"613" 54.14 51.3
"614" 49.29 48.29
"615" 53.77 45.01
"616" 50.89 48.88
"617" 56.54 50.76
"618" 52.92 54.45
"619" 53.48 58.46
"620" 60.34 47.59
"621" 57.55 60.38
"622" 51.3 53.62
"623" 50.02 52.85
"624" 50.96 50.3
"625" 52.08 52.84
"626" 49.49 52.51
"627" 53.04 40.45
"628" 57.63 41.93
"629" 52.09 53.17
"630" 58.9 41.64
"631" 46.18 46.06
"632" 55.38 48.78
"633" 48.56 41.79
"634" 46.32 50.14
"635" 58.14 49.99
"636" 54.03 40.21
"637" 58 56.14
"638" 61.93 55.26
"639" 55.92 50.92
"640" 53.89 56.31
"641" 58.75 43.85
"642" 54.88 47.98
"643" 66.25 39.64
"644" 52.27 48.57
"645" 53.14 43.35
"646" 56.33 45.82
"647" 54.73 40.93
"648" 54.54 46.16
"649" 49.61 54.93
"650" 53.75 49.49
"651" 53.87 56.48
"652" 67.94 59.02
"653" 53.9 42.43
"654" 53.33 46.22
"655" 55.79 51.12
"656" 62.25 57.51
"657" 50.81 42.67
"658" 59.93 52.45
"659" 60.83 46.16
"660" 56.89 50.49
"661" 55.83 46.74
"662" 49.6 61.55
"663" 52.44 53.28
"664" 64.17 40.32
"665" 54.77 51.63
"666" 50.35 49.11
"667" 55.45 51.66
"668" 55.87 48.43
"669" 54.11 50.77
"670" 46.24 48.63
"671" 58.17 52.06
"672" 60.53 49.23
"673" 49.83 55.13
"674" 59.92 47.4
"675" 41.93 46.29
"676" 51.86 58.21
"677" 54.37 56.71
"678" 50.44 56.4
"679" 47.95 48.15
"680" 56.72 45.76
"681" 51.04 55.84
"682" 50.08 53.83
"683" 54.69 59.24
"684" 51.42 49.14
"685" 51.88 48.93
"686" 55.2 41.12
"687" 56.54 48.24
"688" 46.11 58.91
"689" 55.26 51.7
"690" 51.81 43.84
"691" 56.73 53.63
"692" 55.36 39.98
"693" 65.93 57.15
"694" 62.49 54
"695" 60.1 45.21
"696" 46.39 53.46
"697" 50.44 61.32
"698" 58.55 43.42
"699" 45.37 48.89
"700" 48.44 38.57
"701" 48.69 48.73
"702" 58.53 43.62
"703" 59.75 41.46
"704" 49.44 61.29
"705" 57.65 44.06
"706" 51.1 45.78
"707" 49.43 45.03
"708" 42.81 56.79
"709" 59.28 41.07
"710" 52.89 42.25
"711" 50.98 45.6
"712" 50.79 50.14
"713" 50.54 53.53
"714" 62.73 52.75
"715" 52.05 50.76
"716" 55.49 59.38
"717" 62.14 44.18
"718" 48.39 51.34
"719" 56.54 40.05
"720" 64.63 50.54
"721" 46.32 49.15
"722" 49.26 55.68
"723" 48.42 52.96
"724" 55.76 47.95
"725" 56.32 56.41
"726" 51.85 42.81
"727" 56.37 43.42
"728" 53.4 47.28
"729" 62.35 46.45
"730" 68.46 62.42
"731" 62.19 45.04
"732" 56.3 49.75
"733" 58 53.19
"734" 56.31 55.55
"735" 51.49 53.24
"736" 58.11 40.27
"737" 53.67 54.77
"738" 51.83 49.75
"739" 52.11 45.02
"740" 56.56 45.68
"741" 57.94 46.77
"742" 43.54 50.37
"743" 51.66 45.65
"744" 50.74 49.25
"745" 66.77 52.28
"746" 54.38 54.1
"747" 50.52 46.04
"748" 49.99 57.41
"749" 50.06 46.33
"750" 57.3 51.3
"751" 52.27 53.87
"752" 62.83 57.27
"753" 56.69 58.38
"754" 58.04 60.07
"755" 58.54 43.38
"756" 59.44 53.02
"757" 56.86 47.35
"758" 51.53 57.37
"759" 44.75 47.02
"760" 62.55 50.48
"761" 58.21 43.49
"762" 58.92 50.02
"763" 53.55 50.54
"764" 63.12 45.51
"765" 47.76 50.32
"766" 46.14 50.74
"767" 54.51 60.61
"768" 48.46 53.59
"769" 58.92 51.07
"770" 49.89 44.79
"771" 65.39 53.9
"772" 53.67 50.75
"773" 52.93 47.93
"774" 51.98 48.7
"775" 60.44 51.75
"776" 70.06 57.02
"777" 54.64 40.82
"778" 60.48 49.85
"779" 59.21 56.77
"780" 57.83 45.27
"781" 55.67 45.94
"782" 57.57 52.94
"783" 57.25 58.91
"784" 55.78 54.47
"785" 51.32 45.47
"786" 54.44 45.3
"787" 48.23 54.27
"788" 61.99 53.66
"789" 49.33 52.5
"790" 57.43 55.51
"791" 69.15 45.18
"792" 58.73 49.49
"793" 61.28 48.69
"794" 53.48 49.24
"795" 55.21 52.82
"796" 53.11 42.99
"797" 54.25 56.19
"798" 57.84 48.44
"799" 60.61 46.67
"800" 53.38 50.73
"801" 59.05 48.67
"802" 51.53 55.47
"803" 58.46 53.08
"804" 56.4 54.81
"805" 49.17 57.09
"806" 54.85 41.53
"807" 58.43 47.17
"808" 53.57 41.73
"809" 40.2 45.99
"810" 57.39 51.2
"811" 51.59 42.48
"812" 45.39 48.74
"813" 44.91 47.75
"814" 54.51 48.01
"815" 46.26 58.55
"816" 42.12 58.85
"817" 55.51 50.37
"818" 54.34 52.44
"819" 46.3 58.25
"820" 49.99 54.94
"821" 55.38 53.18
"822" 53.14 50.82
"823" 56.04 45.89
"824" 52.36 50.73
"825" 55.68 54.67
"826" 52.81 51.12
"827" 59.24 55.14
"828" 50.19 55.12
"829" 61.37 45
"830" 48.94 45.64
"831" 53.4 50.78
"832" 47.69 49.23
"833" 51.44 52.82
"834" 53.2 50.7
"835" 52.84 44.41
"836" 55.26 54.54
"837" 51.93 47.06
"838" 59.19 51.59
"839" 53.31 45.58
"840" 54.81 49.01
"841" 53.49 53.27
"842" 59.22 43.6
"843" 55.71 47.19
"844" 63.73 45.92
"845" 57.4 53.41
"846" 58.4 49.99
"847" 57.65 42.47
"848" 55.5 48.09
"849" 57.04 47.78
"850" 43.14 59.96
"851" 44.92 49.51
"852" 56.05 52.62
"853" 54.27 47.87
"854" 53.87 40.15
"855" 49.03 47.71
"856" 44.09 49.25
"857" 51.9 51.25
"858" 58.38 49.99
"859" 56.07 54
"860" 49.84 55.33
"861" 52.58 43.27
"862" 58.51 54.89
"863" 48.73 48.34
"864" 53.26 54.25
"865" 51.56 41.97
"866" 54.29 44.33
"867" 52.69 47.69
"868" 53.5 49.63
"869" 52.79 51.13
"870" 54.77 41.86
"871" 51.64 41.23
"872" 55.52 43.49
"873" 61.4 56.46
"874" 49.52 51.7
"875" 47.2 51.95
"876" 48.99 46.24
"877" 67.31 47.45
"878" 52.79 59.11
"879" 53.91 51.12
"880" 60.3 47.38
"881" 52.15 55.64
"882" 58.73 51.79
"883" 48.31 54.61
"884" 53.7 57.96
"885" 60.06 50.28
"886" 51.85 49.49
"887" 53.8 44.82
"888" 57.94 50.18
"889" 53.34 51.02
"890" 58.67 43.26
"891" 53.81 48.89
"892" 57.95 55.88
"893" 52.11 45.82
"894" 44.85 57.68
"895" 62.51 55.1
"896" 50.72 60.99
"897" 48.54 52.52
"898" 58.36 44.83
"899" 55.93 53.92
"900" 51.5 50.55
"901" 52.93 46.58
"902" 54.63 52.23
"903" 55.8 42.39
"904" 57.83 45.84
"905" 57.02 43.19
"906" 54.38 47.91
"907" 52.59 40.22
"908" 51.9 41.73
"909" 54.03 46.35
"910" 47.84 56.39
"911" 51.5 53.1
"912" 55.22 54.2
"913" 59.32 55.17
"914" 63.32 42.4
"915" 52.81 56.85
"916" 58.15 46.58
"917" 44.58 54.61
"918" 48.84 42.92
"919" 52.86 50.08
"920" 52.02 40.13
"921" 71.78 48.29
"922" 52.26 47.27
"923" 55.6 59.33
"924" 55.37 52.34
"925" 48.1 53.09
"926" 56.6 44
"927" 57.46 49.83
"928" 56.73 51.74
"929" 55.06 47.04
"930" 57.57 48.28
"931" 57.44 38.61
"932" 58.79 51.45
"933" 53.86 48.47
"934" 55 50.4
"935" 54.25 46.02
"936" 52.15 33.94
"937" 63.18 49.82
"938" 62.16 51.73
"939" 48.82 52.37
"940" 61.53 50.68
"941" 60.65 52.74
"942" 56.86 53.11
"943" 57.23 37.63
"944" 46.4 45.32
"945" 54.25 41.88
"946" 56.39 51.87
"947" 51.4 48.84
"948" 53.68 48.31
"949" 56.64 54.22
"950" 51.44 46
"951" 59.45 52.83
"952" 51.27 44.77
"953" 47.86 58.42
"954" 44.73 49.66
"955" 62.86 60.53
"956" 48.71 59.34
"957" 71.48 46.68
"958" 47.5 47.61
"959" 55.28 52.26
"960" 47.48 53.19
"961" 47.11 53.65
"962" 49.44 38.39
"963" 55.28 47.88
"964" 55.14 46.11
"965" 57.08 49.11
"966" 62.05 49.28
"967" 50.75 53.7
"968" 60.67 55.08
"969" 52.33 42.98
"970" 57.07 50.96
"971" 59.82 43.91
"972" 59.68 48.51
"973" 57.34 50.46
"974" 56.69 44.02
"975" 57.62 49.67
"976" 56.32 42.9
"977" 51.25 50.33
"978" 57.89 41.02
"979" 53.88 49.47
"980" 50.68 54.33
"981" 54.42 52.11
"982" 56.1 46.66
"983" 48.21 48.28
"984" 56.42 42.77
"985" 54.45 50.82
"986" 49.71 51.89
"987" 50.38 49.32
"988" 55.79 53.69
"989" 60.47 53.2
"990" 46.04 49.89
"991" 58.01 44.27
"992" 52.96 46.29
"993" 47.88 45.87
"994" 51.85 56.22
"995" 55.46 47.32
"996" 50.33 50.91
"997" 60.89 52.67
"998" 52.74 53.23
"999" 48.21 49.37
"1000" 42.17 51.65
