A,B
3.503108476,5.086840716
3.957544092,3.937673855
2.331640682,4.179947043
3.788737071,4.180526946
1.860842895,4.383707895
4.93176163,5.600801648
4.037158647,4.205378217
2.967511837,4.362711929
2.116127759,3.62522258
3.046374211,6.027457703
1.58989419,3.59231516
2.474118388,5.293999981
3.030609349,5.839231628
2.079879528,4.707957153
2.27796204,5.56334108
4.581714873,5.229547608
2.763350834,4.549726616
3.17937577,4.390656398
4.625214724,4.622284428
3.032314511,4.72360206
2.193517362,5.465095302
4.103916005,5.409173181
2.564774619,5.876995917
3.39339366,3.896575837
3.161782506,3.944472287
0.463805202,6.111985828
3.516661863,4.062981748
0.333989134,3.928967075
2.585263384,3.936910761
2.412474354,4.400545936
3.275813302,6.325165023
1.740290708,5.071300845
3.726146273,5.115581106
3.293469542,4.804611726
2.772796794,3.840034024
3.134995949,4.994929593
1.744930279,4.652735414
3.827871806,5.73529323
3.4448062,5.285760518
4.967105127,2.82590095
2.784891896,5.122264757
5.037753521,6.478827693
2.391138665,3.576065111
1.318396824,6.705774786
2.319815557,5.667864947
3.404573825,3.148838955
2.481017058,4.928992023
2.738365954,5.856741161
3.536395705,4.242798301
2.14995386,3.292473905
2.342340621,2.062602831
2.330452497,4.438190044
1.863463923,6.028549489
0.289626373,5.25178882
2.6517326,4.247093297
2.369972353,4.883478797
2.471054813,2.97167271
4.343705156,3.994598272
1.154904823,3.780288403
4.346702693,3.525392858
3.543576989,2.995292938
3.239035774,5.345968318
1.830340309,3.882757696
3.922928077,4.894539051
3.452555798,5.147272297
2.595730954,4.021390104
2.265583949,5.877806276
4.156024459,4.913550197
3.247527911,6.085114826
3.959800722,6.080953275
3.586727213,5.429245132
3.678605425,4.900524799
2.809318729,4.337288077
1.142395281,5.644990915
1.785215723,6.457188574
3.398442823,3.895490427
2.913268348,5.189743926
3.68532957,3.351947848
2.998478716,4.654783956
1.347068896,4.450002071
3.402964119,4.53150659
4.818655177,4.297448066
3.058164881,4.384794049
2.141934833,4.163319119
4.113753943,4.044062047
3.573707921,4.627589102
1.480861116,4.498059312
3.926115167,5.587681754
2.939224651,5.726136277
2.937729203,4.075048511
3.64682349,4.416980494
3.352287078,4.799431477
3.440750732,6.199542792
2.829551439,7.253224881
2.658843957,5.253695291
2.703847727,3.99154271
3.756614234,6.232970767
2.306342608,5.257347193
4.503763153,6.071855323
3.542251421,6.116348405
4.281740134,5.525403064
2.314837832,3.76667326
5.211396026,5.72321442
3.753069673,5.472429408
1.924375361,5.399858534
2.528408299,5.703360659
1.768292832,4.944063576
3.178921538,4.354914238
3.230463916,6.35843749
5.187258207,5.690503721
4.463607484,4.597757079
4.574515937,4.641922656
2.111241627,4.900163107
4.328019307,4.396028011
2.587828403,3.013561267
2.425579298,2.670459967
3.328290243,4.760455607
3.788581955,5.507601378
3.704589022,3.962551425
2.826894288,6.604739568
1.172397468,4.95897268
2.923070926,3.703207361
2.540260704,4.637923462
3.836487227,4.600551903
4.44891753,4.41331105
3.059361613,5.966143718
3.319350906,3.927898426
3.859154316,6.486029049
3.13014204,3.995169769
2.960960901,5.971435694
4.065656449,4.29781968
2.738977926,3.653956398
1.402913511,4.886233943
3.26128801,5.66985822
3.758553773,5.557333117
3.165846474,3.004037344
2.451154617,4.985259346
3.742623886,5.954799295
4.144175022,5.232932118
4.988709074,4.754971005
4.182172348,5.718882831
3.069231043,3.718818205
3.230774673,4.425702544
5.528847301,5.530808685
4.427016034,4.854900917
4.067464457,5.507414329
5.212429799,3.598654009
2.344595433,3.949915765
3.128425856,3.560998583
2.981792526,6.641096667
2.433967971,5.043563384
4.074128025,4.235251143
4.066525792,5.231293496
2.495153773,4.792629108
4.25338609,3.85588212
4.782961255,6.056303795
2.167120503,4.496157976
4.81436706,4.882549589
3.01727972,2.577808696
2.146472896,5.704267852
2.97527455,4.362160692
4.014330785,4.576144291
3.952707874,4.782595589
3.063743734,4.67426799
4.39206745,5.75496273
2.411586529,4.05491809
2.423594292,6.40789884
3.274672871,4.868603921
3.8008147,3.41651731
0.744703413,2.851438977
1.757946316,3.681641017
1.663918383,5.237649781
2.864383256,5.524976536
2.070787731,5.373264954
3.736938651,7.167044869
3.871880382,5.069218759
3.423468433,4.333648629
3.912965702,5.936214682
4.613172126,5.231610495
2.074324792,4.177850665
3.822616667,5.143976317
2.555016601,4.528888517
3.343034807,3.577598064
5.133850067,5.681660916
1.722729042,4.980736447
1.059169393,5.45637204
4.449656926,4.653950229
2.153439818,4.087793726
1.724087372,4.695636701
1.942730518,5.734315252
3.70661372,4.904630287
4.436426162,5.426200931
2.899035395,3.497950646
2.984249151,4.388413639
3.226668877,4.461643698
3.599266818,6.482923154
2.610054519,6.125096728
1.418420523,5.275927515
4.411481169,3.603415362
1.82644646,5.437393689
2.382074331,4.064375526
3.449142944,5.915300477
2.254326362,6.633597431
2.00022726,5.312893426
2.946028879,5.215532641
1.93447187,5.463463881
2.87510789,3.217262225
2.372833241,4.400839902
1.842449839,3.974870187
1.967663818,5.405513203
2.806008038,4.663709998
2.08323153,6.47267
5.256235428,5.698095037
4.056703441,5.931762776
1.977399566,3.165429519
3.738525882,6.312555125
4.137382997,5.902384455
2.246235681,5.261645741
4.028788243,5.239281412
2.402827984,3.360800185
3.419935955,5.009138586
4.221469209,5.99644567
4.270099019,5.328840294
3.296138169,5.285291628
3.737023302,5.65758511
1.37458706,5.920602097
4.74357575,4.169272572
1.692624614,5.744698748
3.033405451,5.636061155
0.885426823,4.060662618
3.247040505,3.972516362
2.608503686,5.475111071
3.235613295,6.331136773
3.270325133,3.639557733
5.416295023,3.978653187
2.917063,6.039121789
4.897209645,4.424784559
3.685314706,3.982220619
2.072797171,5.251903932
1.453813864,4.642464702
4.416959497,4.299796099
3.466410093,4.635475124
1.781920626,4.188879864
3.646832753,5.807986471
3.382709084,3.479912906
0.600488972,5.840710942
4.462829009,4.897161294
3.690923157,1.834961299
2.669226499,4.79315278
2.939241463,5.213811626
2.110849543,7.003279133
2.662065204,4.1398353
2.222445544,5.067579708
2.047672169,4.42665982
3.276403012,5.262032363
2.643756546,4.14966284
3.605419634,6.145258143
1.80972703,5.582663957
3.755927268,7.293520084
2.41930084,3.741813293
3.09813844,4.701518683
3.851086453,2.998086252
0.997898322,5.597121524
3.1285809,4.061165139
2.776990613,3.811510169
3.016692338,6.376414251
3.805594804,4.923379242
3.241855927,4.431672836
3.870216463,4.221430945
1.232070115,5.234357211
2.508426141,4.160257069
2.949791448,5.367014605
3.424031183,7.21068702
3.897060653,6.016787402
2.461733981,4.285754014
2.6304627,6.562683248
4.556443365,5.086437344
1.577044172,5.878937778
2.122068845,4.033001647
3.523304904,4.982720712
1.380556872,5.27942131
2.946722685,6.622950444
3.908264356,4.461040539
2.411868893,4.443792838
0.938709821,5.146637801
3.35336584,4.756730964
2.300611698,6.428918994
3.225040057,4.329939409
2.361940115,4.752042326
3.595968523,3.950559011
3.037336326,2.98218455
2.689338896,4.845283118
2.354132209,5.879336342
4.683454694,4.474464378
4.552902145,3.523980088
2.526688303,4.648956352
1.515239308,6.710023219
2.992131101,4.98093552
2.611787364,4.591014347
2.10048123,2.860715493
4.426483628,4.61582355
2.872791061,4.525248052
4.241995649,5.346415973
4.141049155,3.824583422
2.953699367,4.273199896
1.836403434,5.495917142
3.960271207,3.723262762
3.026157127,6.100748718
4.792448619,4.670421849
2.611281746,5.069739124
1.88198797,6.35443861
4.758255136,5.8753007
4.094931992,4.96095776
2.655123198,4.70441221
3.720813977,5.078152096
2.961706395,5.210775572
2.980293636,5.685122935
2.031100783,5.760103096
5.471184644,3.977714323
2.271858684,4.508446133
3.127699614,5.244113299
3.192466707,5.486933704
2.814644748,5.21011221
2.535011737,5.401372235
2.522711694,6.394867347
3.707315818,3.526726086
3.556166241,5.68079943
1.000862215,5.524728093
2.54530848,5.442565391
4.931370498,5.240185454
1.532184342,3.009188644
4.545829985,6.365451441
2.994902841,7.02926322
4.055211721,4.383523065
4.494416306,6.408465608
4.12643901,4.298956351
4.314208664,4.82496937
1.937318344,4.48607609
4.484737091,4.025464878
3.586680619,3.099007459
3.173195756,5.101557249
1.903437376,6.057732069
2.38656153,3.589792262
4.383844323,5.068076798
3.613082012,6.437784267
3.518499539,4.394638084
